"id","title","description","price","availability","condition","link","image_link","brand","reference"
1626,"Amtra Clean Procult - 50 ml","<p> </p>
<div style=""color: rgb(0, 0, 0); font-size: 16px; line-height: 16px; background-color: rgb(247, 247, 247); border: 1px solid rgb(153, 153, 153); border-radius: 1px; top: 1px; left: 1px;"">
<div class=""ir-ext-dimensions"">
<span class=""ir-ext-rendered"" title=""Rendered image dimensions (after any scaling/resizing has been applied)""> <span data-ir-ext-width=""""></span>x<span data-ir-ext-height=""""></span> </span> <span class=""ir-ext-natural"" title=""Natural image dimensions (without applying any scaling/resizing)""> (<span data-ir-ext-width=""""></span>x<span data-ir-ext-height=""""></span>) </span>
</div>
<div class=""ir-ext-filesize"">
<span data-ir-ext-value=""""></span> <span data-ir-ext-unit=""""></span>
</div>
</div>
<style>    #ir-ext-ui {      position: fixed;      padding: 1px;      z-index: 9999;      display: none;      font-family: Consolas, ""Lucida Console"", ""Courier New"", Courier, monospace;      text-align: right;    }  </style>
<div id=""ir-ext-ui"" style=""color: rgb(0, 0, 0); font-size: 16px; line-height: 16px; background-color: rgb(247, 247, 247); border: 1px solid rgb(153, 153, 153); border-radius: 1px; top: 1px; left: 1px;""></div>","9.00 EUR","out of stock","new","https://aqua-reve.com/produits/Amtra%20Clean%20Procult%20-%2050%20ml?id=1626","","",""
1635,"Arbre en bois flotté - Violet","<h4 style=""text-align: center;""><span style=""text-decoration: underline;"">Manque de <span style=""color: #000000; text-decoration: underline;""><strong data-mce-fragment=""1"">vitalité </strong></span>et de naturel ?</span></h4>
<p> </p>
<p> </p>
<h6>Explorez l'élégance de notre Arbre en <span style=""color: #000000;"" data-mce-style=""color: #000000;"">bois flotté</span>, un atout majeur pour tout aquarium. Il sublime non seulement votre espace aquatique, mais crée aussi un milieu vibrant et <span style=""color: #000000;"">dynamique</span>. Ainsi, il enrichit l'ambiance et stimule l'écosystème de votre aquarium, apportant vie et <span style=""color: #000000;"">beauté</span>.</h6>
<p> </p>
<p data-mce-fragment=""1""><img data-mce-fragment=""1"" src=""https://cdn.shopify.com/s/files/1/0719/1530/7273/files/WhiteBlueGradientShoesAmazonProductImage_6_480x480.png?v=1706872505"" alt=""""> </p>
<h6 data-mce-fragment=""1"">Ainsi, l'Arbre en bois <span style=""color: #000000;"">flotté</span> embellit votre aquarium. Il crée un milieu idéal pour les plantes aquatiques. Son aspect naturel s'harmonise avec la verdure. Ceci éveille la curiosité visuelle et stimule vos <span style=""color: #000000;"">poissons</span>.</h6>
<p data-mce-fragment=""1""> </p>
<h6 data-mce-fragment=""1""><strong data-mce-fragment=""1"">Spécifications:</strong></h6>
<h6> </h6>
<h6 data-mce-fragment=""1""><strong data-mce-fragment=""1""></strong></h6>
<h6>
<strong>- Matériaux</strong> : PE et résine de qualité supérieure.</h6>
<h6> </h6>
<h6>
<strong>- Dimensions</strong> : 22 × 9.8 × 27.5 cm, parfaite pour divers aquariums.</h6>
<h6> </h6>
<h6>
<strong>- Poids</strong> : Léger, 480g seulement.</h6>
<h6> </h6>
<h6>
<strong>- Utilisation</strong> : Idéal pour la décoration d'aquarium et les paysages photo.</h6>
<p> </p>
<h6></h6>
<h6>
<strong>Un entretien facile garde l'Arbre en bois flotté <span style=""color: #000000;"" data-mce-style=""color: #000000;"">éclatant</span>. Un simple rinçage à l'eau élimine les saletés. Évitez les produits chimiques pour protéger votre aquarium.</strong> <br>
</h6>
<p> </p>
<div class=""flex flex-grow flex-col max-w-full"">
<div class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"" data-message-id=""8c8eaa3c-da4f-41f7-915a-e78944ec6d45"" data-message-author-role=""assistant"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<div class=""flex flex-grow flex-col max-w-full"">
<div data-message-author-role=""assistant"" data-message-id=""ef1b06d7-371b-4ae6-ad53-4cc84020aeb1"" class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<div class=""flex-shrink-0 flex flex-col relative items-end"">
<div>
<div class=""pt-0.5"">
<div class=""gizmo-shadow-stroke flex h-6 w-6 items-center justify-center overflow-hidden rounded-full"">
<div class=""h-6 w-6"">
<div class=""gizmo-shadow-stroke overflow-hidden rounded-full"">
<div class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"" data-message-id=""223d519d-d3a5-4519-82c5-4f4cb4034e5c"" data-message-author-role=""assistant"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<h6>De plus, il apporte une touche de sérénité, transformant votre espace en un havre de paix. <strong><span style=""color: #ff2a00;"">Transformez votre espace aquatique dès aujourd'hui et découvrez son potentiel.</span></strong><strong><span style=""color: #ff2a00;""></span></strong>
</h6>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<h6></h6>
</div>
</div>
</div>
</div>
</div>
</div>
<ul data-mce-fragment=""1""></ul>
<div class=""notranslate"" style=""all: initial;""></div>
<div class=""notranslate"" style=""all: initial;""></div>","33.00 EUR","out of stock","new","https://aqua-reve.com/produits/Arbre%20en%20bois%20flott%C3%A9%20-%20Violet?id=1635","","",""
1644,"Brosse - 30/40/50 cm lot de 10 - Noir / 50 cm","<p><br></p>
<!---->","34.60 EUR","out of stock","new","https://aqua-reve.com/produits/Brosse%20-%2030%2F40%2F50%20cm%20lot%20de%2010%20-%20Noir%20%2F%2050%20cm?id=1644","","",""
1653,"Capitaine Pirate Animé","","18.90 EUR","out of stock","new","https://aqua-reve.com/produits/Capitaine%20Pirate%20Anim%C3%A9?id=1653","","",""
1662,"Chauffage Intelligent IH SubSN - 500 à 1200 W - 1000 W","","64.00 EUR","out of stock","new","https://aqua-reve.com/produits/Chauffage%20Intelligent%20IH%20SubSN%20-%20500%20%C3%A0%201200%20W%20-%201000%20W?id=1662","","",""
1670,"Ciseaux Aquatiques Inox - Argent","","16.99 EUR","out of stock","new","https://aqua-reve.com/produits/Ciseaux%20Aquatiques%20Inox%20-%20Argent?id=1670","","",""
1679,"Contrôleur de CO2 - Contrôleur à goutte - Modèle Crochet Petit","","21.00 EUR","out of stock","new","https://aqua-reve.com/produits/Contr%C3%B4leur%20de%20CO2%20-%20Contr%C3%B4leur%20%C3%A0%20goutte%20-%20Mod%C3%A8le%20Crochet%20Petit?id=1679","","",""
1627,"Amtra Clean Procult - 50 ml","<p> </p>
<div style=""color: rgb(0, 0, 0); font-size: 16px; line-height: 16px; background-color: rgb(247, 247, 247); border: 1px solid rgb(153, 153, 153); border-radius: 1px; top: 1px; left: 1px;"">
<div class=""ir-ext-dimensions"">
<span class=""ir-ext-rendered"" title=""Rendered image dimensions (after any scaling/resizing has been applied)""> <span data-ir-ext-width=""""></span>x<span data-ir-ext-height=""""></span> </span> <span class=""ir-ext-natural"" title=""Natural image dimensions (without applying any scaling/resizing)""> (<span data-ir-ext-width=""""></span>x<span data-ir-ext-height=""""></span>) </span>
</div>
<div class=""ir-ext-filesize"">
<span data-ir-ext-value=""""></span> <span data-ir-ext-unit=""""></span>
</div>
</div>
<style>    #ir-ext-ui {      position: fixed;      padding: 1px;      z-index: 9999;      display: none;      font-family: Consolas, ""Lucida Console"", ""Courier New"", Courier, monospace;      text-align: right;    }  </style>
<div id=""ir-ext-ui"" style=""color: rgb(0, 0, 0); font-size: 16px; line-height: 16px; background-color: rgb(247, 247, 247); border: 1px solid rgb(153, 153, 153); border-radius: 1px; top: 1px; left: 1px;""></div>","7.65 EUR","out of stock","new","https://aqua-reve.com/produits/Amtra%20Clean%20Procult%20-%2050%20ml?id=1627","","",""
1636,"Arbre en bois flotté - Orange","<h4 style=""text-align: center;""><span style=""text-decoration: underline;"">Manque de <span style=""color: #000000; text-decoration: underline;""><strong data-mce-fragment=""1"">vitalité </strong></span>et de naturel ?</span></h4>
<p> </p>
<p> </p>
<h6>Explorez l'élégance de notre Arbre en <span style=""color: #000000;"" data-mce-style=""color: #000000;"">bois flotté</span>, un atout majeur pour tout aquarium. Il sublime non seulement votre espace aquatique, mais crée aussi un milieu vibrant et <span style=""color: #000000;"">dynamique</span>. Ainsi, il enrichit l'ambiance et stimule l'écosystème de votre aquarium, apportant vie et <span style=""color: #000000;"">beauté</span>.</h6>
<p> </p>
<p data-mce-fragment=""1""><img data-mce-fragment=""1"" src=""https://cdn.shopify.com/s/files/1/0719/1530/7273/files/WhiteBlueGradientShoesAmazonProductImage_6_480x480.png?v=1706872505"" alt=""""> </p>
<h6 data-mce-fragment=""1"">Ainsi, l'Arbre en bois <span style=""color: #000000;"">flotté</span> embellit votre aquarium. Il crée un milieu idéal pour les plantes aquatiques. Son aspect naturel s'harmonise avec la verdure. Ceci éveille la curiosité visuelle et stimule vos <span style=""color: #000000;"">poissons</span>.</h6>
<p data-mce-fragment=""1""> </p>
<h6 data-mce-fragment=""1""><strong data-mce-fragment=""1"">Spécifications:</strong></h6>
<h6> </h6>
<h6 data-mce-fragment=""1""><strong data-mce-fragment=""1""></strong></h6>
<h6>
<strong>- Matériaux</strong> : PE et résine de qualité supérieure.</h6>
<h6> </h6>
<h6>
<strong>- Dimensions</strong> : 22 × 9.8 × 27.5 cm, parfaite pour divers aquariums.</h6>
<h6> </h6>
<h6>
<strong>- Poids</strong> : Léger, 480g seulement.</h6>
<h6> </h6>
<h6>
<strong>- Utilisation</strong> : Idéal pour la décoration d'aquarium et les paysages photo.</h6>
<p> </p>
<h6></h6>
<h6>
<strong>Un entretien facile garde l'Arbre en bois flotté <span style=""color: #000000;"" data-mce-style=""color: #000000;"">éclatant</span>. Un simple rinçage à l'eau élimine les saletés. Évitez les produits chimiques pour protéger votre aquarium.</strong> <br>
</h6>
<p> </p>
<div class=""flex flex-grow flex-col max-w-full"">
<div class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"" data-message-id=""8c8eaa3c-da4f-41f7-915a-e78944ec6d45"" data-message-author-role=""assistant"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<div class=""flex flex-grow flex-col max-w-full"">
<div data-message-author-role=""assistant"" data-message-id=""ef1b06d7-371b-4ae6-ad53-4cc84020aeb1"" class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<div class=""flex-shrink-0 flex flex-col relative items-end"">
<div>
<div class=""pt-0.5"">
<div class=""gizmo-shadow-stroke flex h-6 w-6 items-center justify-center overflow-hidden rounded-full"">
<div class=""h-6 w-6"">
<div class=""gizmo-shadow-stroke overflow-hidden rounded-full"">
<div class=""min-h-[20px] text-message flex flex-col items-start gap-3 whitespace-pre-wrap break-words [.text-message+&amp;]:mt-5 overflow-x-auto"" data-message-id=""223d519d-d3a5-4519-82c5-4f4cb4034e5c"" data-message-author-role=""assistant"">
<div class=""markdown prose w-full break-words dark:prose-invert light"">
<h6>De plus, il apporte une touche de sérénité, transformant votre espace en un havre de paix. <strong><span style=""color: #ff2a00;"">Transformez votre espace aquatique dès aujourd'hui et découvrez son potentiel.</span></strong><strong><span style=""color: #ff2a00;""></span></strong>
</h6>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
</div>
<h6></h6>
</div>
</div>
</div>
</div>
</div>
</div>
<ul data-mce-fragment=""1""></ul>
<div class=""notranslate"" style=""all: initial;""></div>
<div class=""notranslate"" style=""all: initial;""></div>","33.00 EUR","out of stock","new","https://aqua-reve.com/produits/Arbre%20en%20bois%20flott%C3%A9%20-%20Orange?id=1636","","",""
1645,"Brosse - 30/40/50 cm lot de 10 - Vert / 30 cm","<p><br></p>
<!---->","27.30 EUR","out of stock","new","https://aqua-reve.com/produits/Brosse%20-%2030%2F40%2F50%20cm%20lot%20de%2010%20-%20Vert%20%2F%2030%20cm?id=1645","","",""
1654,"Capitaine Pirate Animé","","15.12 EUR","out of stock","new","https://aqua-reve.com/produits/Capitaine%20Pirate%20Anim%C3%A9?id=1654","","",""
1663,"Chauffage Intelligent IH SubSN - 500 à 1200 W - 1200 W","","68.00 EUR","out of stock","new","https://aqua-reve.com/produits/Chauffage%20Intelligent%20IH%20SubSN%20-%20500%20%C3%A0%201200%20W%20-%201200%20W?id=1663","","",""
1671,"Ciseaux Aquatiques Inox - Noir","","13.59 EUR","out of stock","new","https://aqua-reve.com/produits/Ciseaux%20Aquatiques%20Inox%20-%20Noir?id=1671","","",""
1680,"Contrôleur de CO2 - Contrôleur à goutte - Modèle Crochet Large","","21.00 EUR","out of stock","new","https://aqua-reve.com/produits/Contr%C3%B4leur%20de%20CO2%20-%20Contr%C3%B4leur%20%C3%A0%20goutte%20-%20Mod%C3%A8le%20Crochet%20Large?id=1680","","",""
1628,"Amtra Pro Chips Feed - 100 ml","","6.20 EUR","out of stock","new","https://aqua-reve.com/produits/Amtra%20Pro%20Chips%20Feed%20-%20100%20ml?id=1628","","",""
